Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2010-04-07,0.07,0.07,0.07,0.07,96000,0.0,,6720.0,
2010-04-08,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2010-04-09,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2010-04-12,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2010-04-13,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2010-04-14,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2010-04-15,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2010-04-16,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2010-04-19,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2010-04-20,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2010-04-21,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,672.0
2010-04-22,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-04-23,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-04-26,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-04-27,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-04-28,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-04-29,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-04-30,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-03,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-04,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-05,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-06,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-07,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-10,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-11,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-12,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-13,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-14,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-17,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-18,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-19,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-20,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-21,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-24,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-25,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-26,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-27,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-05-28,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-01,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-02,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-03,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-04,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-07,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-08,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-09,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-10,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-11,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-14,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-15,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-16,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-17,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-18,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-21,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-22,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-23,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-24,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-25,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-28,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-29,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-06-30,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-01,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-02,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-06,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-07,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-08,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-09,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-12,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-13,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-14,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-15,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-16,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-19,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-20,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-21,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-22,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-23,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-26,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-27,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-28,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-29,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-07-30,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-02,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-03,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-04,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-05,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-06,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-09,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-10,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-11,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-12,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-13,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-16,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-17,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-18,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-19,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-20,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-23,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-24,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-25,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-26,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-27,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-30,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-08-31,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-01,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-02,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-03,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-07,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-08,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-09,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-10,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-13,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-14,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-15,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-16,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-17,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-20,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-21,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-22,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-23,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-24,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-27,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-28,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-29,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-09-30,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-10-01,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-10-04,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0
2010-10-05,0.1,0.1,0.1,0.1,16000,0.0,0.4286,1600.0,0.0
2010-10-06,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,160.0
2010-10-07,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,160.0
2010-10-08,0.12,0.13,0.12,0.13,32000,0.0833,0.3,4160.0,160.0
2010-10-11,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,576.0
2010-10-12,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,576.0
2010-10-13,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,576.0
2010-10-14,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,576.0
2010-10-15,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,576.0
2010-10-18,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,576.0
2010-10-19,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,576.0
2010-10-20,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,416.0
2010-10-21,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,416.0
2010-10-22,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,416.0
2010-10-25,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0
2010-10-26,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0
2010-10-27,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0
2010-10-28,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0
2010-10-29,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0
2010-11-01,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0
2010-11-02,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0
2010-11-03,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0
